mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,34,106.0066,0.9997,49.9852,95.5412,216.4328,100.0000,0.5039,57.8946,18,96.9559,50,-0.010601
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,35,122.4584,0.9997,49.9852,95.1406,215.8040,100.0000,0.5083,58.4896,16,89.5417,50,-0.012246
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,36,118.6817,0.9997,49.9852,91.3610,209.4141,100.0000,0.5002,59.3595,14,62.0819,50,-0.011868
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,37,116.9357,0.9997,49.9852,91.7025,210.0238,100.0000,0.5094,56.1142,15,80.1575,50,-0.011694
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,38,109.6766,0.9997,49.9852,91.9484,210.3880,100.0000,0.5088,55.5395,15,75.3350,50,-0.010968
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,39,113.8138,0.9997,49.9852,95.6792,216.7134,100.0000,0.5039,56.9246,17,94.2375,50,-0.011381
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,40,107.8371,0.9997,49.9852,94.9806,215.5029,100.0000,0.5023,55.4446,12,86.5903,50,-0.010784
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,41,120.0533,0.9997,49.9852,93.2849,212.6784,100.0000,0.5019,56.9190,18,93.7913,50,-0.012005
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,42,109.3078,0.9997,49.9852,91.9351,210.3568,100.0000,0.5001,54.5716,14,89.9518,50,-0.010931
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,43,108.9495,0.9997,49.9852,94.2996,214.3505,100.0000,0.5070,59.2088,19,104.7157,50,-0.010895
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,44,115.3343,0.9997,49.9852,91.4796,209.6738,100.0000,0.5023,52.4480,16,80.7248,50,-0.011533
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,45,100.7634,0.9997,49.9852,91.1823,209.0136,100.0000,0.5073,57.8080,14,104.1873,50,-0.010076
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,46,106.7330,0.9997,49.9852,92.7408,211.7050,100.0000,0.5050,56.2912,16,78.5165,50,-0.010673
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,47,113.8917,0.9997,49.9852,95.5979,216.6407,100.0000,0.5318,47.2772,13,80.2288,50,-0.011389
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,48,112.6772,0.9997,49.9852,94.3771,214.5185,100.0000,0.5079,52.5928,16,73.7969,50,-0.011268
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,49,120.1515,0.9997,49.9852,92.5261,211.4690,100.0000,0.5070,50.3130,14,81.0743,50,-0.012015
DynamicDuopoly,twap|sigma=0.5|arb_speed=0.2,0,194.1149,0.9997,49.9852,172.8039,349.1880,100.0000,0.5128,88.5628,6,441.8188,50,-0.019411
DynamicDuopoly,twap|sigma=0.5|arb_speed=0.2,1,167.0710,0.9997,49.9852,137.3441,287.8892,100.0000,0.5809,92.9562,11,197.6720,50,-0.016707
