policy,seed_set,seed,shortfall_bps,completion_rate
twap,final,90213,123.1426,1.0000
stochastic_planner,final,90214,107.3848,1.0000
lookahead,final,90214,104.9464,1.0000
twap,final,90214,116.4503,1.0000
stochastic_planner,final,90215,94.5749,1.0000
lookahead,final,90215,97.4092,1.0000
twap,final,90215,101.1987,1.0000
stochastic_planner,final,90216,87.3491,1.0000
lookahead,final,90216,82.6007,1.0000
twap,final,90216,108.6010,1.0000
stochastic_planner,final,90217,110.4788,1.0000
lookahead,final,90217,98.9601,1.0000
twap,final,90217,103.4417,1.0000
stochastic_planner,final,90218,124.7844,1.0000
lookahead,final,90218,115.8670,1.0000
twap,final,90218,116.8796,1.0000
stochastic_planner,final,90219,128.8418,1.0000
lookahead,final,90219,104.8311,1.0000
twap,final,90219,110.0383,1.0000
stochastic_planner,final,90220,168.3201,1.0000
lookahead,final,90220,172.6815,1.0000
twap,final,90220,140.9822,1.0000
stochastic_planner,final,90221,125.8431,1.0000
lookahead,final,90221,128.7274,1.0000
twap,final,90221,120.9990,1.0000
stochastic_planner,final,90222,132.2106,1.0000
lookahead,final,90222,134.7963,1.0000
twap,final,90222,135.5500,1.0000
stochastic_planner,final,90223,115.8543,1.0000
lookahead,final,90223,108.3905,1.0000
twap,final,90223,113.5583,1.0000
stochastic_planner,final,90224,81.1836,1.0000
lookahead,final,90224,83.5658,1.0000
twap,final,90224,97.2699,1.0000
stochastic_planner,final,90225,123.1629,1.0000
lookahead,final,90225,121.5286,1.0000
twap,final,90225,104.1271,1.0000
stochastic_planner,final,90226,92.9410,1.0000
