gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
1,0,3,1,3,3,0.000000,0
1,0,3,1,3,6,0.000000,0
1,0,3,1,3,10,0.004283,4
1,0,3,1,3,20,0.000016,2
1,0,3,1,3,30,0.000000,0
1,0,3,1,4,3,0.000000,0
1,0,3,1,4,6,0.003657,2
1,0,3,1,4,10,0.000259,2
1,0,3,1,4,20,0.000000,0
1,0,3,1,4,30,0.000655,3
1,0,3,2,3,3,0.000000,0
1,0,3,2,3,6,0.000000,0
1,0,3,2,3,10,0.000236,1
1,0,3,2,3,20,0.000000,0
1,0,3,2,3,30,0.000000,0
1,1,0,0,3,3,0.000075,1
1,1,0,0,3,6,0.000219,1
1,1,0,0,3,10,0.000000,0
1,1,0,0,3,20,0.000000,0
1,1,0,0,3,30,0.000000,0
1,1,0,0,4,3,0.000000,0
1,1,0,0,4,6,0.000000,0
1,1,0,0,4,10,0.000145,1
1,1,0,0,4,20,0.000000,0
1,1,0,0,4,30,0.000000,0
1,1,2,0,0,3,0.029427,30
1,1,2,0,0,6,0.005395,3
1,1,2,0,0,10,0.000585,1
1,1,2,0,0,20,0.003162,8
1,1,2,0,0,30,0.000171,2
1,1,2,0,1,3,0.031833,33
1,1,2,0,1,6,0.001509,2
1,1,2,0,1,10,0.004787,7
1,1,2,0,1,20,0.000434,3
1,1,2,0,1,30,0.000412,4
1,1,2,0,2,3,0.019392,18
1,1,2,0,2,6,0.002019,1
1,1,2,0,2,10,0.002508,7
1,1,2,0,2,20,0.000771,5
1,1,2,0,2,30,0.000156,4
1,1,2,0,3,3,0.031267,38
1,1,2,0,3,6,0.005078,9
1,1,2,0,3,10,0.003482,9
1,1,2,0,3,20,0.002001,5
1,1,2,0,3,30,0.000783,6
1,1,2,0,4,3,0.001803,1
1,1,2,0,4,6,0.011038,11
1,1,2,0,4,10,0.000353,3
1,1,2,0,4,20,0.000888,4
1,1,2,0,4,30,0.000326,7
1,1,2,1,0,3,0.041075,2659
1,1,2,1,0,6,0.040790,764
1,1,2,1,0,10,0.039852,736
1,1,2,1,0,20,0.040240,637
1,1,2,1,0,30,0.040159,660
1,1,2,1,1,3,0.041077,2294
1,1,2,1,1,6,0.040330,734
1,1,2,1,1,10,0.039957,721
1,1,2,1,1,20,0.039689,799
1,1,2,1,1,30,0.039746,676
1,1,2,1,2,3,0.041099,2501
1,1,2,1,2,6,0.040457,1107
1,1,2,1,2,10,0.040237,958
1,1,2,1,2,20,0.040333,955
1,1,2,1,2,30,0.039836,913
1,1,2,1,3,3,0.041094,2303
1,1,2,1,3,6,0.040369,1022
1,1,2,1,3,10,0.040011,976
1,1,2,1,3,20,0.040001,904
1,1,2,1,3,30,0.039947,909
1,1,2,1,4,3,0.041067,1691
1,1,2,1,4,6,0.038709,902
1,1,2,1,4,10,0.039127,749
1,1,2,1,4,20,0.037226,705
1,1,2,1,4,30,0.039409,757
1,1,2,2,0,3,0.041173,232563
1,1,2,2,0,6,0.041095,45032
1,1,2,2,0,10,0.040916,19251
1,1,2,2,0,20,0.040761,19027
1,1,2,2,0,30,0.040753,18915
1,1,2,2,1,3,0.041151,391576
1,1,2,2,1,6,0.041144,51744
1,1,2,2,1,10,0.040905,28634
1,1,2,2,1,20,0.040782,28107
1,1,2,2,1,30,0.040764,28097
1,1,2,2,2,3,0.040982,137930
1,1,2,2,2,6,0.041150,24539
1,1,2,2,2,10,0.040912,14744
1,1,2,2,2,20,0.040746,14261
1,1,2,2,2,30,0.040752,14190
1,1,2,2,3,3,0.041196,73638
1,1,2,2,3,6,0.041051,24160
