scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5386,6.5771,0.4956,-0.0655,0.8982,0.4026,1448.2717,129,1438,1.016255,1.015849,0.4956,0.0000,1440,0
campbell_rl_normal,tabular_rl,5387,6.6132,0.4786,-0.3953,0.9039,0.4253,1463.3424,148,1438,1.040168,1.039440,0.4786,0.0000,1440,0
campbell_rl_normal,tabular_rl,5388,6.5271,0.4869,-0.0103,0.8870,0.4001,1454.1794,129,1440,0.993589,0.993192,0.4869,0.0000,1440,0
campbell_rl_normal,tabular_rl,5389,6.5771,0.4804,-0.6578,0.9180,0.4376,1451.2798,154,1440,1.051954,1.051533,0.4804,0.0000,1440,0
campbell_rl_normal,tabular_rl,5390,6.3250,0.4822,-0.4349,0.8487,0.3665,1483.0904,129,1438,0.958722,0.958050,0.4822,0.0000,1440,0
campbell_rl_normal,tabular_rl,5391,6.5694,0.4791,-0.0070,0.9010,0.4219,1445.3496,157,1439,1.005337,1.004633,0.4791,0.0000,1440,0
campbell_rl_normal,tabular_rl,5392,6.5653,0.4905,-0.4077,0.9022,0.4117,1439.3607,140,1439,1.040799,1.040071,0.4905,0.0000,1440,0
campbell_rl_normal,tabular_rl,5393,6.4139,0.4750,-0.0087,0.8871,0.4122,1476.9189,151,1440,1.005906,1.005503,0.4750,0.0000,1440,0
campbell_rl_normal,tabular_rl,5394,6.3979,0.4792,-0.0292,0.8773,0.3981,1479.1752,164,1436,1.010848,1.010444,0.4792,0.0000,1440,0
campbell_rl_normal,tabular_rl,5395,6.4799,0.4780,-0.4460,0.8660,0.3880,1467.9128,135,1438,0.958206,0.957822,0.4780,0.0000,1440,0
campbell_rl_normal,tabular_rl,5396,6.2653,0.4740,-0.1944,0.8536,0.3796,1491.3385,158,1439,0.972310,0.971920,0.4740,0.0000,1440,0
campbell_rl_normal,tabular_rl,5397,6.7958,0.4815,-0.1694,0.9296,0.4481,1429.9095,163,1437,1.026205,1.025795,0.4815,0.0000,1440,0
campbell_rl_normal,tabular_rl,5398,6.4993,0.4847,-0.0184,0.8808,0.3961,1458.3727,134,1438,0.991429,0.991033,0.4847,0.0000,1440,0
campbell_rl_normal,tabular_rl,5399,6.3812,0.4713,-0.7837,0.8659,0.3946,1489.8964,154,1439,0.944793,0.944415,0.4713,0.0000,1440,0
campbell_rl_normal,tabular_rl,5400,6.3819,0.4915,-0.3484,0.8894,0.3979,1457.0308,137,1439,1.037683,1.037268,0.4915,0.0000,1440,0
campbell_rl_normal,tabular_rl,5401,6.6750,0.4749,-0.0003,0.8957,0.4208,1461.4921,141,1438,0.998705,0.998005,0.4749,0.0000,1440,0
campbell_rl_normal,tabular_rl,5402,6.5736,0.4809,-1.0253,0.9081,0.4272,1453.7019,160,1440,1.065066,1.064640,0.4809,0.0000,1440,0
campbell_rl_normal,tabular_rl,5403,6.3632,0.4663,-1.8309,0.8401,0.3739,1498.7819,139,1439,0.916251,0.915884,0.4663,0.0000,1440,0
campbell_rl_normal,tabular_rl,5404,6.3674,0.4857,-0.4526,0.8942,0.4085,1472.1262,168,1439,1.043006,1.042276,0.4857,0.0000,1440,0
campbell_rl_normal,tabular_rl,5405,6.6174,0.4803,-0.1596,0.9088,0.4286,1447.5237,143,1438,1.025447,1.024424,0.4803,0.0000,1440,0
campbell_rl_normal,tabular_rl,5406,6.3361,0.4819,-0.0874,0.8689,0.3870,1470.3595,149,1440,0.981388,0.980995,0.4819,0.0000,1440,0
campbell_rl_normal,tabular_rl,5407,6.4611,0.4757,-0.5881,0.8670,0.3913,1467.7144,144,1438,0.952085,0.951704,0.4757,0.0000,1440,0
campbell_rl_normal,tabular_rl,5408,6.4403,0.4848,-0.2062,0.8959,0.4111,1460.9040,155,1439,1.028929,1.028518,0.4848,0.0000,1440,0
