policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,137,1998.755888,1997.955905,18.8628,0.000942,0.00138517,6.0000,arb+fund,999488.8457,500.2557,0.685487,35.3385
fixed_6bps,138,1998.837948,1998.037932,-4.4128,-0.000221,0.00132631,6.0000,fund,999509.3627,500.2454,0.492171,35.3471
fixed_6bps,139,1995.125279,1994.326749,14.5989,0.000729,0.00130722,6.0000,fund,998580.6801,500.7107,0.557210,35.8385
fixed_6bps,140,1993.514452,1992.716567,4.0747,0.000204,0.00129654,6.0000,fund,998177.4810,500.9129,0.241919,35.8399
fixed_6bps,141,1994.897566,1994.099128,-10.9329,-0.000547,0.00122393,6.0000,fund,998523.6924,500.7392,0.687114,36.0987
fixed_6bps,142,1993.639651,1992.841716,2.3047,0.000115,0.00116178,6.0000,fund,998208.8249,500.8972,0.290316,36.0720
fixed_6bps,143,1992.122279,1991.324952,3.6114,0.000181,0.00114656,6.0000,fund,997828.8811,501.0879,0.251088,36.0645
fixed_6bps,144,1989.573481,1988.777174,8.8032,0.000440,0.00100028,6.0000,fund,997190.3464,501.4088,0.383121,36.2176
fixed_6bps,145,1990.778462,1989.981673,-10.0528,-0.000503,0.00096757,6.0000,fund,997492.2738,501.2570,0.660049,36.4299
fixed_6bps,146,1990.443720,1989.647064,-2.3213,-0.000116,0.00096892,6.0000,fund,997408.4079,501.2992,0.428533,36.4034
fixed_6bps,147,1989.632804,1988.836473,0.0717,0.000004,0.00096525,6.0000,fund,997205.2128,501.4013,0.356838,36.3635
fixed_6bps,148,1990.166900,1989.370356,-6.6850,-0.000334,0.00096111,6.0000,fund,997339.0486,501.3340,0.559120,36.4350
fixed_6bps,149,1990.814604,1990.017800,-7.2546,-0.000363,0.00095378,6.0000,fund,997501.3282,501.2525,0.576265,36.5264
fixed_6bps,150,1990.313371,1989.516768,-1.4851,-0.000074,0.00094539,6.0000,fund,997375.7487,501.3156,0.403489,36.4920
